,Activity:,Cause:,Country:,Employer:,Fatalities:,Location:,Region:,Year:
168,Transport - Land,Struck by,KAZAKHSTAN,Contractor,1,Onshore,Russia & Central Asia,2007
169,Transport - Land,Struck by,OMAN,Contractor,1,Onshore,Middle East,2001
170,"Drilling, workover, well services",Falls from height,CHINA,Contractor,1,Offshore,Asia/Australasia,2014
171,"Drilling, workover, well services",Struck by,EGYPT,Contractor,1,Onshore,Africa,2003
172,Transport - Land,Struck by,NIGERIA,Company,0,Onshore,Africa,2007
173,Seismic / survey operations,Struck by,PERU,Contractor,1,Onshore,South & Central America,2010
174,"Transport - Water, incl. marine activity","Water related, drowning",USA,Contractor,1,Offshore,North America,2004
175,"Lifting, crane, rigging, deck operations",Struck by,YEMEN,Contractor,1,Onshore,Middle East,2008
176,Seismic / survey operations,Struck by,CANADA,Contractor,1,Onshore,North America,2001
177,Transport - Land,Struck by,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2007
178,"Construction, commissioning, decommissioning",Explosions or burns,COLOMBIA,Contractor,3,Onshore,South & Central America,2008
179,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",MEXICO,Contractor,1,Onshore,North America,2012
180,Transport - Land,Struck by,ARGENTINA,Contractor,1,Onshore,South & Central America,2000
181,Transport - Air,Other,UK,Contractor,16,Onshore,Europe,2009
182,"Maintenance, inspection, testing",Explosions or burns,CONGO,Company,1,Offshore,Africa,2009
183,Transport - Land,Struck by,UAE,Contractor,1,Onshore,Middle East,2010
184,Transport - Land,Struck by,YEMEN,Contractor,1,Onshore,Middle East,2005
185,Production operations,Pressure release,BRAZIL,Contractor,1,Onshore,South & Central America,2010
186,Transport - Land,Struck by,MEXICO,Contractor,1,Onshore,North America,2002
187,"Lifting, crane, rigging, deck operations",Struck by,VENEZUELA,Contractor,1,Onshore,South & Central America,2000
188,Transport - Land,Falls from height,KAZAKHSTAN,Contractor,1,Onshore,Russia & Central Asia,2006
189,"Construction, commissioning, decommissioning",Explosions or burns,MEXICO,Contractor,1,Offshore,North America,2015
190,"Transport - Water, incl. marine activity",Struck by,IRAN,Contractor,1,Offshore,Middle East,2008
191,"Construction, commissioning, decommissioning","Water related, drowning",RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2014
192,Transport - Air,Other,MEXICO,Company,1,Offshore,North America,2003
193,null,Other,CHAD,Company,0,Onshore,Africa,2002
194,"Office, warehouse, accommodation, catering","Water related, drowning",NIGERIA,Contractor,1,Onshore,Africa,2008
195,"Maintenance, inspection, testing",Pressure release,RUSSIA,Company,1,Onshore,Russia & Central Asia,2005
196,Transport - Land,Struck by,TUNISIA,Company,0,Onshore,Africa,2004
197,Transport - Land,Struck by,INDIA,no data,0,no data,Asia/Australasia,2007
198,Transport - Land,Struck by,ROMANIA,no data,0,no data,Europe,2010
199,Transport - Land,Struck by,ARGENTINA,Contractor,2,Onshore,South & Central America,2003
200,"Drilling, workover, well services",Falls from height,USA,Contractor,1,Onshore,North America,2005
201,"Drilling, workover, well services",Struck by,UK,Contractor,1,Offshore,Europe,2001
202,null,Other,NIGERIA,Contractor,0,Onshore,Africa,2003
203,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",MEXICO,Contractor,1,Onshore,North America,2002
204,Transport - Land,Struck by,ROMANIA,no data,0,no data,Europe,2009
205,Transport - Land,"Caught in, under or between (excl. dropped objects)",RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2003
206,Production operations,"Water related, drowning",MALAYSIA,Company,1,Offshore,Asia/Australasia,2012
207,Seismic / survey operations,Struck by,PAPUA NEW GUINEA,Contractor,1,Onshore,Asia/Australasia,2011
208,Unspecified - other,Struck by,MEXICO,Contractor,1,Onshore,North America,2003
209,"Maintenance, inspection, testing",Explosions or burns,AZERBAIJAN,Contractor,1,Onshore,Russia & Central Asia,2006
210,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",VENEZUELA,Contractor,1,Onshore,South & Central America,2006
211,null,"Water related, drowning",VENEZUELA,Company,0,Onshore,South & Central America,2001
212,Transport - Land,Struck by,ANGOLA,Contractor,0,Onshore,Africa,2005
213,Unspecified - other,"Water related, drowning",ALGERIA,Contractor,1,Onshore,Africa,2002
214,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Contractor,1,Onshore,Middle East,2008
215,Transport - Land,Struck by,VENEZUELA,Contractor,1,Onshore,South & Central America,2002
216,"Construction, commissioning, decommissioning",Struck by,INDONESIA,Contractor,1,Onshore,Asia/Australasia,2012
217,"Lifting, crane, rigging, deck operations",Struck by,MEXICO,Contractor,1,Offshore,North America,2001
218,"Diving, subsea, ROV","Water related, drowning",INDONESIA,Contractor,1,Offshore,Asia/Australasia,2000
219,Transport - Land,Struck by,OMAN,Contractor,1,Onshore,Middle East,2002
220,"Lifting, crane, rigging, deck operations",Struck by,KUWAIT,Contractor,1,Onshore,Middle East,2007
221,"Drilling, workover, well services",Struck by,EGYPT,Contractor,1,Onshore,Africa,2007
222,Transport - Land,Struck by,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2010
223,"Construction, commissioning, decommissioning",Struck by,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2007
224,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",UK,Contractor,1,Offshore,Europe,2000
225,"Construction, commissioning, decommissioning",Pressure release,USA,Contractor,1,Onshore,North America,2012
226,Transport - Land,Struck by,SAUDI ARABIA,Company,1,Onshore,Middle East,2002
227,Transport - Land,"Caught in, under or between (excl. dropped objects)",KUWAIT,Contractor,1,Onshore,Middle East,2013
228,"Maintenance, inspection, testing","Caught in, under or between (excl. dropped objects)",UAE,Contractor,1,Onshore,Middle East,2011
229,"Construction, commissioning, decommissioning",Explosions or burns,COLOMBIA,Contractor,3,Onshore,South & Central America,2008
230,"Construction, commissioning, decommissioning","Water related, drowning",UAE,Contractor,1,Offshore,Middle East,2018
231,Transport - Land,Struck by,KAZAKHSTAN,Company,1,Onshore,Russia & Central Asia,2017
232,null,Struck by,USA,Contractor,0,Onshore,North America,2003
