,Activity:,Cause:,Country:,Employer:,Fatalities:,Location:,Region:,Year:
0,Transport - Land,Struck by,RUSSIA,Company,1,Onshore,Russia & Central Asia,2008
1,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",BRUNEI,Contractor,1,Onshore,Asia/Australasia,2004
2,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",ARGENTINA,Contractor,1,Onshore,South & Central America,2015
3,"Maintenance, inspection, testing",Falls from height,MEXICO,Company,1,Onshore,North America,2000
4,Transport - Land,Struck by,ROMANIA,Company,1,Onshore,Europe,2008
5,Unspecified - other,"Caught in, under or between (excl. dropped objects)",USA,Contractor,1,Offshore,North America,2001
6,"Maintenance, inspection, testing",Pressure release,USA,Contractor,1,Onshore,North America,2006
7,"Maintenance, inspection, testing",Confined space,NIGERIA,Contractor,3,Onshore,Africa,2009
8,Transport - Land,Struck by,ROMANIA,Company,1,Onshore,Europe,2006
9,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",INDONESIA,Contractor,1,Offshore,Asia/Australasia,2007
10,"Lifting, crane, rigging, deck operations",Struck by,LIBYA,Contractor,1,Onshore,Africa,2004
11,null,"Water related, drowning",NIGERIA,no data,1,Onshore,Africa,1999
12,Transport - Land,Struck by,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2006
13,Unspecified - other,"Exposure noise, chemical, biological, vibration",MEXICO,Company,1,Onshore,North America,2015
14,Transport - Land,Struck by,SYRIA,Contractor,0,Onshore,Middle East,2002
15,null,Other,NIGERIA,Contractor,1,Onshore,Africa,1991
16,Transport - Air,Other,GABON,Contractor,2,Onshore,Africa,2012
17,"Office, warehouse, accommodation, catering",Explosions or burns,NIGERIA,Contractor,1,Onshore,Africa,2002
18,"Maintenance, inspection, testing","Caught in, under or between (excl. dropped objects)",BRAZIL,Contractor,1,Offshore,South & Central America,2014
19,"Drilling, workover, well services",Falls from height,BRAZIL,Contractor,1,Offshore,South & Central America,2013
20,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",YEMEN,Contractor,1,Onshore,Middle East,2008
21,"Construction, commissioning, decommissioning",Struck by,NIGERIA,Contractor,1,Onshore,Africa,2000
22,Transport - Land,Struck by,KAZAKHSTAN,Contractor,1,Onshore,Russia & Central Asia,2004
23,"Maintenance, inspection, testing",Falls from height,MEXICO,Company,1,Onshore,North America,2000
24,null,Struck by,PAKISTAN,no data,1,Onshore,Asia/Australasia,1999
25,Transport - Air,Other,GABON,Contractor,2,Onshore,Africa,2012
26,"Construction, commissioning, decommissioning",Struck by,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2007
27,Unspecified - other,Other,TRINIDAD & TOBAGO,Contractor,1,Onshore,South & Central America,2002
28,Transport - Land,Struck by,NIGERIA,no data,0,no data,Africa,2006
29,"Lifting, crane, rigging, deck operations",Struck by,ALGERIA,Contractor,1,Onshore,Africa,2008
30,"Lifting, crane, rigging, deck operations",Struck by,LIBYA,Contractor,1,Onshore,Africa,2004
31,"Construction, commissioning, decommissioning",Confined space,AUSTRALIA,Contractor,2,Onshore,Asia/Australasia,2016
32,Unspecified - other,Other,USA,Contractor,2,Onshore,North America,2013
33,Unspecified - other,Other,EGYPT,Company,1,Onshore,Africa,2004
34,Transport - Land,Struck by,UAE,no data,0,no data,Middle East,2011
35,"Diving, subsea, ROV",Other,NIGERIA,Company,1,Onshore,Africa,2015
36,Production operations,Pressure release,NIGERIA,Contractor,1,Offshore,Africa,2011
37,Transport - Land,Struck by,CHAD,no data,0,no data,Africa,2008
38,Unspecified - other,Other,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2002
39,Transport - Land,Struck by,NIGERIA,Contractor,1,Onshore,Africa,2003
40,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",VENEZUELA,Contractor,1,Onshore,South & Central America,2001
41,Transport - Land,Struck by,UAE,Contractor,1,Onshore,Middle East,2009
42,"Maintenance, inspection, testing",Struck by,CHINA,Company,1,Offshore,Asia/Australasia,2018
43,"Maintenance, inspection, testing",Exposure electrical,IRAN,Contractor,1,Onshore,Middle East,2004
44,Unspecified - other,Assault or violent act,NIGERIA,Contractor,1,Onshore,Africa,2000
45,null,"Water related, drowning",NIGERIA,Contractor,0,Onshore,Africa,2000
46,"Drilling, workover, well services",Falls from height,NIGERIA,Contractor,1,Offshore,Africa,2009
47,Transport - Land,Struck by,ANGOLA,Contractor,0,Onshore,Africa,2002
48,"Drilling, workover, well services",Struck by,NIGERIA,Contractor,1,Onshore,Africa,2004
49,Transport - Land,Struck by,KAZAKHSTAN,Contractor,1,Onshore,Russia & Central Asia,2006
50,Seismic / survey operations,"Caught in, under or between (excl. dropped objects)",TUNISIA,Contractor,1,Onshore,Africa,2014
51,Seismic / survey operations,Assault or violent act,COLOMBIA,Contractor,1,Onshore,South & Central America,2007
52,"Drilling, workover, well services",Falls from height,BRAZIL,Contractor,1,Offshore,South & Central America,2013
53,Transport - Land,Struck by,OMAN,Company,1,Onshore,Middle East,2001
54,Transport - Land,Struck by,OMAN,Contractor,1,Onshore,Middle East,2006
55,Production operations,Explosions or burns,MEXICO,Company,7,Offshore,North America,2015
56,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",ARGENTINA,Contractor,1,Onshore,South & Central America,2011
57,"Drilling, workover, well services",Falls from height,VENEZUELA,Contractor,1,Onshore,South & Central America,2000
58,"Construction, commissioning, decommissioning",Confined space,RUSSIA,Contractor,1,Onshore,Russia & Central Asia,2006
59,"Maintenance, inspection, testing",Other,MEXICO,Company,1,Onshore,North America,2002
60,"Maintenance, inspection, testing",Struck by,ALGERIA,Contractor,1,Onshore,Africa,2004
61,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",QATAR,Contractor,2,Onshore,Middle East,2009
62,Transport - Land,Struck by,INDONESIA,Contractor,1,Onshore,Asia/Australasia,2001
63,"Maintenance, inspection, testing",Pressure release,VENEZUELA,Contractor,1,Onshore,South & Central America,2000
64,Transport - Land,Struck by,KAZAKHSTAN,Company,0,Onshore,Russia & Central Asia,2001
65,Unspecified - other,"Caught in, under or between (excl. dropped objects)",PHILIPPINES,Contractor,1,Offshore,Asia/Australasia,2000
66,Transport - Land,Struck by,USA,Contractor,1,Onshore,North America,2015
67,"Drilling, workover, well services",Struck by,USA,Contractor,1,Onshore,North America,2011
68,"Maintenance, inspection, testing",Pressure release,INDIA,Company,1,Onshore,Asia/Australasia,2009
69,"Transport - Water, incl. marine activity","Water related, drowning",MALAYSIA,no data,0,no data,Asia/Australasia,2006
70,Seismic / survey operations,"Caught in, under or between (excl. dropped objects)",PAPUA NEW GUINEA,Contractor,1,Onshore,Asia/Australasia,2011
71,"Transport - Water, incl. marine activity",Struck by,QATAR,Contractor,1,Offshore,Middle East,2007
72,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",QATAR,Contractor,1,Onshore,Middle East,2011
73,"Maintenance, inspection, testing",Explosions or burns,NETHERLANDS,Contractor,2,Onshore,Europe,2005
74,Production operations,"Caught in, under or between (excl. dropped objects)",CANADA,Contractor,1,Onshore,North America,2011
75,null,Struck by,VENEZUELA,Contractor,1,Onshore,South & Central America,1991
76,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CANADA,Contractor,1,Onshore,North America,2001
77,"Office, warehouse, accommodation, catering",Explosions or burns,NIGERIA,Contractor,1,Onshore,Africa,2002
78,"Lifting, crane, rigging, deck operations",Struck by,USA,Contractor,1,Onshore,North America,2003
79,"Maintenance, inspection, testing",Falls from height,UAE,Contractor,1,Offshore,Middle East,2002
80,null,Exposure electrical,VENEZUELA,Contractor,1,Onshore,South & Central America,1991
81,"Maintenance, inspection, testing",Struck by,USA,Contractor,1,Onshore,North America,2005
82,Transport - Land,Struck by,NIGERIA,no data,0,no data,Africa,2012
83,"Office, warehouse, accommodation, catering","Water related, drowning",NIGERIA,Contractor,1,Onshore,Africa,2008
84,Transport - Land,Struck by,PAKISTAN,Contractor,0,Onshore,Asia/Australasia,2002
85,null,"Water related, drowning",USA,no data,1,Offshore,North America,1999
86,Transport - Land,Struck by,USA,Company,1,Onshore,North America,2000
87,Transport - Land,Struck by,INDONESIA,no data,0,no data,Asia/Australasia,2010
88,null,"Water related, drowning",NIGERIA,no data,0,Onshore,Africa,1999
89,Transport - Air,Struck by,USA,no data,2,Offshore,North America,1999
90,null,Falls from height,NIGERIA,Contractor,1,Onshore,Africa,1991
91,null,Falls from height,VENEZUELA,Company,1,Onshore,South & Central America,1991
92,Transport - Air,Struck by,VENEZUELA,Contractor,2,Onshore,South & Central America,1991
93,Transport - Land,Assault or violent act,NIGERIA,no data,1,Onshore,Africa,1999
94,null,Other,VENEZUELA,no data,1,Offshore,South & Central America,1999
95,null,Struck by,VENEZUELA,Contractor,1,Onshore,South & Central America,1991
96,null,Explosions or burns,SYRIA,Contractor,5,Onshore,Middle East,1995
97,null,Explosions or burns,NIGERIA,no data,5,Onshore,Africa,1999
98,null,Struck by,VENEZUELA,Contractor,1,Onshore,South & Central America,1991
